"Date"	"Time"	"Global_active_power"	"Global_reactive_power"	"Voltage"	"Global_intensity"	"Sub_metering_1"	"Sub_metering_2"	"Sub_metering_3"	"day"	"Month"	"Hour"	"year"	"detection"
"200077"	"4/5/2007"	"16:00:00"	0.192	0.078	241.68	7	0	2	19	"Friday"	5	16	2007	"Normal"
"200078"	"4/5/2007"	"16:01:00"	0.5272	0.074	241.18	7	0	3	18	"Friday"	5	16	2007	"Normal"
"200079"	"4/5/2007"	"16:02:00"	0.266	0.144	240.69	8.6	0	3	24	"Friday"	5	16	2007	"Normal"
"200080"	"4/5/2007"	"16:03:00"	0.264	0.18	240.69	9.6	0	3	29	"Friday"	5	16	2007	"Normal"
"200081"	"4/5/2007"	"16:04:00"	0.264	0.172	240.25	9.6	0	2	29	"Friday"	5	16	2007	"Normal"
"200082"	"4/5/2007"	"16:05:00"	0.358	0.2	242.15	6.2	0	3	15	"Friday"	5	16	2007	"Normal"
"200083"	"4/5/2007"	"16:06:00"	0.346	0.198	241.91	5.4	0	3	12	"Friday"	5	16	2007	"Normal"
"200084"	"4/5/2007"	"16:07:00"	0.344	0.132	242.07	4	0	2	6	"Friday"	5	16	2007	"Normal"
"200085"	"4/5/2007"	"16:08:00"	0.342	0.098	242.01	2.8	0	3	1	"Friday"	5	16	2007	"Normal"
"200086"	"4/5/2007"	"16:09:00"	0.52075	0.226	242.86	3.2	0	2	0	"Friday"	5	16	2007	"Normal"
"200087"	"4/5/2007"	"16:10:00"	0.5206	0.226	242.8	3.2	0	3	1	"Friday"	5	16	2007	"Normal"
"200088"	"4/5/2007"	"16:11:00"	0.52045	0.228	243.31	3.2	0	2	1	"Friday"	5	16	2007	"Normal"
"200089"	"4/5/2007"	"16:12:00"	0.336	0.226	242.88	3	0	3	0	"Friday"	5	16	2007	"Normal"
"200090"	"4/5/2007"	"16:13:00"	0.336	0.228	243.07	3	0	3	1	"Friday"	5	16	2007	"Normal"
"200091"	"4/5/2007"	"16:14:00"	0.51685	0.226	243.01	3	0	2	1	"Friday"	5	16	2007	"Normal"
"200092"	"4/5/2007"	"16:15:00"	0.5148	0.23	243.9	3.4	0	3	0	"Friday"	5	16	2007	"Normal"
"200093"	"4/5/2007"	"16:16:00"	0.334	0.23	243.84	3	0	2	1	"Friday"	5	16	2007	"Normal"
"200094"	"4/5/2007"	"16:17:00"	0.51515	0.228	243.95	3	0	3	1	"Friday"	5	16	2007	"Normal"
"200095"	"4/5/2007"	"16:18:00"	0.266	0.108	244.6	2.6	0	1	0	"Friday"	5	16	2007	"Normal"
"200096"	"4/5/2007"	"16:19:00"	0.238	0.118	244.51	2.6	0	1	1	"Friday"	5	16	2007	"Normal"
"200097"	"4/5/2007"	"16:20:00"	0.236	0.142	244.36	2.6	0	1	1	"Friday"	5	16	2007	"Normal"
"200098"	"4/5/2007"	"16:21:00"	0.236	0.156	244.8	2.6	0	1	0	"Friday"	5	16	2007	"Normal"
"200099"	"4/5/2007"	"16:22:00"	0.50945	0.16	244.65	2.8	0	2	1	"Friday"	5	16	2007	"Normal"
"200100"	"4/5/2007"	"16:23:00"	0.5051	0.122	244.55	2.4	0	0	1	"Friday"	5	16	2007	"Normal"
"200101"	"4/5/2007"	"16:24:00"	0.31	0.112	244.13	2.6	0	1	1	"Friday"	5	16	2007	"Normal"
"200102"	"4/5/2007"	"16:25:00"	0.5057	0.172	243.97	3.2	0	2	0	"Friday"	5	16	2007	"Normal"
"200103"	"4/5/2007"	"16:26:00"	0.306	0.086	244.05	2.8	0	2	1	"Friday"	5	16	2007	"Normal"
"200104"	"4/5/2007"	"16:27:00"	0.304	0.084	244.37	2.8	0	2	1	"Friday"	5	16	2007	"Normal"
"200105"	"4/5/2007"	"16:28:00"	0.3	0.08	243.72	2.8	0	2	0	"Friday"	5	16	2007	"Normal"
"200106"	"4/5/2007"	"16:29:00"	0.51695	0.078	243.48	2.8	0	2	1	"Friday"	5	16	2007	"Normal"
"200107"	"4/5/2007"	"16:30:00"	0.3	0.08	243.64	2.8	0	2	1	"Friday"	5	16	2007	"Normal"
"200108"	"4/5/2007"	"16:31:00"	0.292	0.104	243.46	2.6	0	2	0	"Friday"	5	16	2007	"Normal"
"200109"	"4/5/2007"	"16:32:00"	0.52715	0.114	242.64	2.6	0	1	1	"Friday"	5	16	2007	"Normal"
"200110"	"4/5/2007"	"16:33:00"	0.53045	0.11	242.31	2.6	0	1	1	"Friday"	5	16	2007	"Normal"
"200111"	"4/5/2007"	"16:34:00"	0.53385	0.088	243.17	2.4	0	1	0	"Friday"	5	16	2007	"Normal"
"200112"	"4/5/2007"	"16:35:00"	0.794	0.082	243.37	2.6	0	1	1	"Friday"	5	16	2007	"Normal"
